crypto_pair,sell_drop_percent,trigger_percent,initial_capital,final_capital,buy_hold_return,trade_count,max_drawdown,sharpe_ratio,in_tade
APLD,0.01,0.09,1000,1423.6105454411127,1644.8363130350642,5,-0.7125515683716045,0.06835158861779274
TSLA,0.025,0.03,1000,1253.362822461751,1704.2200231157376,7,-0.5431997557810558,0.042229739296316154
NVDA,0.025,0.01,1000,1182.2176264857712,1204.533616919821,12,-0.41167522949096147,0.03663904884990866
LCID,0.015,0.01,1000,881.4423542523776,822.8190285818918,3,-0.5090099635776048,0.015912207646882934
F,0.02,0.09,1000,1114.7295061642042,909.3626060875094,3,-0.2294257807136643,0.0330315792969841
QBTS,0.02,0.05,1000,5431.990858647179,13504.065327465005,14,-0.6285008671085431,0.11978691892790568
PLTR,0.01,0.01,1000,2030.8876966028927,4894.976241513788,23,-0.36622078078651227,0.09260088617861748
BTG,0.005,0.05,1000,2079.393960673487,1439.6849258323248,14,-0.14057930198789903,0.17603309174935883
RXRX,0.01,0.03,1000,863.2123841503095,664.788711773358,13,-0.536771163853466,0.016500374066989013
RIOT,0.025,0.01,1000,949.8401737586507,943.4250477639157,8,-0.556837034034146,0.02404648413968417
MARA,0.025,0.09,1000,706.5945384311337,725.7524777305887,5,-0.6551686821591626,0.006115413551374325
RIG,0.005,0.03,1000,518.9761809362634,506.3985534137401,4,-0.6526379828406285,-0.046817496925274434
INTC,0.025,0.09,1000,1321.2735821052343,670.8957299452602,8,-0.13850732910495353,0.06546785769628395
SOFI,0.01,0.01,1000,1919.2195006521733,1778.9072685615986,13,-0.45234529462409284,0.09135440937981758
HIMS,0.015,0.01,1000,1599.7709075877074,2528.76835800325,22,-0.5022941570668734,0.06121606833939085
AAL,0.02,0.05,1000,1477.8448329620478,997.3935112033944,11,-0.14953265946883187,0.08313087548980544
AG,0.025,0.09,1000,1505.8677705985388,1263.2426484212415,7,-0.2947723320816518,0.06512976320606212
RGTI,0.005,0.05,1000,1988.0815887185427,14047.619481547132,14,-0.6618789571356305,0.07889179184194522
HOOD,0.005,0.05,1000,1784.4884877066347,3527.186752701469,18,-0.45994347650584533,0.08906408705670338
PSLV,0.02,0.07,1000,1109.0398159386532,1204.3868639393863,5,-0.18470144468825933,0.04096198957294472
